elapsed_time_s,pulse_height_V
0.115,0.316178
0.115,0.279463
0.321,0.316178
0.321,0.150962
0.321,0.246420
0.321,0.499750
0.620,1.311141
0.620,0.198691
0.620,0.154634
0.620,0.191348
0.620,0.268449
0.620,0.301492
0.857,0.165648
0.857,0.176663
0.857,0.474050
0.857,0.264777
0.857,0.161977
0.857,0.591537
1.066,0.301492
1.066,0.158305
1.066,0.422650
1.066,0.308835
1.347,0.195020
1.347,0.474050
1.347,0.690666
1.347,0.382264
1.347,0.389607
1.347,0.169320
1.347,0.463036
1.594,0.150962
1.594,0.404293
1.594,0.441007
1.594,0.150962
1.594,0.246420
1.594,0.224392
1.875,0.261106
1.875,0.463036
1.875,0.169320
1.875,0.477722
2.085,0.150962
2.085,0.470379
2.085,0.158305
2.085,0.154634
2.085,0.422650
2.334,0.154634
2.334,0.297821
2.334,0.338207
2.334,0.235406
2.334,0.154634
2.575,0.385935
2.575,0.184006
2.575,0.327192
2.576,0.257435
2.576,0.466707
2.869,0.154634
2.869,0.422650
2.869,0.360235
2.869,0.448350
2.869,0.158305
3.107,0.639266
3.107,0.231734
3.107,0.617237
3.107,0.257435
3.107,0.176663
3.107,0.191348
3.317,0.407964
3.317,0.206034
3.317,0.161977
3.317,0.150962
3.589,0.213377
3.589,0.150962
3.589,0.231734
3.589,0.187677
3.589,1.333170
3.865,0.286806
3.865,0.371250
3.865,0.150962
3.865,0.349221
3.865,0.176663
3.865,0.150962
4.134,0.261106
4.134,0.150962
4.134,0.507093
4.134,0.213377
4.134,0.272120
4.372,0.150962
4.372,0.470379
4.372,0.374921
4.372,0.334535
4.372,0.154634
4.372,0.404293
4.647,0.180334
4.647,0.187677
4.647,0.246420
4.647,0.316178
4.891,0.235406
4.891,0.209706
4.891,0.154634
4.891,0.334535
4.891,0.239077
5.211,0.334535
5.211,0.463036
5.211,0.268449
5.211,0.169320
5.211,0.507093
5.455,0.187677
5.455,0.459364
5.455,0.389607
5.455,0.356564
5.729,0.338207
5.729,0.158305
5.729,0.154634
5.729,0.396950
5.729,0.150962
5.729,0.492407
5.975,0.470379
5.975,0.154634
5.975,0.455693
5.975,0.609894
5.975,0.198691
5.975,0.154634
6.293,0.407964
6.293,0.150962
6.293,0.264777
6.293,0.150962
6.293,1.245055
6.293,0.195020
6.531,0.206034
6.531,0.198691
6.531,0.158305
6.531,0.481393
6.531,0.231734
6.801,0.191348
6.801,0.165648
6.801,0.239077
6.801,0.150962
6.801,0.161977
7.043,0.415307
7.043,0.158305
7.043,0.286806
7.043,0.195020
7.044,0.242749
7.044,0.154634
7.044,0.172991
7.044,0.264777
7.313,0.150962
7.313,0.150962
7.313,0.176663
7.313,0.206034
7.313,0.158305
7.598,0.595208
7.598,0.228063
7.598,0.250092
7.598,0.165648
7.598,0.150962
7.598,0.198691
7.598,0.275792
7.598,0.180334
7.870,0.496079
7.870,0.257435
7.870,0.499750
7.870,0.459364
8.115,0.407964
8.115,0.455693
8.115,0.231734
8.115,0.202363
8.115,0.415307
8.115,0.154634
8.391,0.154634
8.391,0.158305
8.391,0.150962
8.391,0.363907
8.391,0.422650
8.391,0.503422
8.391,0.158305
8.673,0.202363
8.673,0.389607
8.673,0.341878
8.673,0.418978
8.673,0.154634
8.946,0.158305
8.946,0.382264
8.946,0.169320
8.946,1.366213
8.946,0.316178
9.185,0.283135
9.185,0.609894
9.185,0.161977
9.185,0.297821
9.185,0.150962
9.185,0.158305
9.185,0.202363
9.457,0.161977
9.457,0.411636
9.457,0.150962
9.457,0.290478
9.457,0.474050
9.699,0.499750
9.699,0.264777
9.699,0.441007
9.699,0.272120
9.699,0.474050
9.699,0.371250
9.699,0.150962
10.022,0.150962
10.022,0.239077
10.022,0.308835
10.022,0.169320
10.022,0.349221
10.265,0.496079
10.265,0.327192
10.265,0.525451
10.265,0.150962
10.265,0.250092
10.265,0.290478
10.265,0.455693
10.537,0.433664
10.537,0.312506
10.537,0.202363
10.537,0.455693
10.780,0.272120
10.780,0.474050
10.780,0.228063
10.780,0.455693
10.780,0.356564
10.780,0.466707
11.096,0.261106
11.096,0.150962
11.096,0.228063
11.096,0.195020
11.096,0.198691
11.096,0.161977
11.337,0.606222
11.337,0.154634
11.337,0.441007
11.337,1.333170
11.337,0.150962
11.337,0.411636
11.337,0.206034
11.610,0.455693
11.610,0.360235
11.610,0.488736
11.610,0.283135
11.610,0.510765
11.856,0.411636
11.856,0.172991
11.856,0.334535
11.856,0.206034
11.856,0.441007
11.856,0.172991
11.856,0.268449
12.134,0.272120
12.134,0.407964
12.134,0.154634
12.134,0.418978
12.134,0.154634
12.134,0.356564
12.134,0.154634
12.134,0.206034
12.417,0.558494
12.417,0.279463
12.417,0.150962
12.417,0.613565
12.417,0.161977
12.681,0.172991
12.681,0.290478
12.681,0.158305
12.681,0.161977
12.681,0.415307
12.888,0.334535
12.888,0.246420
12.888,0.573179
12.888,0.385935
12.888,0.169320
12.888,0.268449
13.160,0.415307
13.160,0.198691
13.160,0.290478
13.160,0.411636
13.465,0.312506
13.465,0.180334
13.465,0.187677
13.465,0.396950
13.465,0.294149
13.736,0.415307
13.736,0.283135
13.736,0.187677
13.736,0.187677
13.736,0.213377
13.736,0.459364
13.965,0.154634
13.965,0.184006
13.965,0.176663
13.965,0.150962
13.965,0.231734
14.204,0.198691
14.204,0.345549
14.204,0.198691
14.204,0.323521
14.204,0.202363
14.204,0.187677
14.470,0.426321
14.470,0.228063
14.470,0.275792
14.470,0.202363
14.470,0.169320
14.750,0.580522
14.750,0.466707
14.750,0.150962
14.750,0.161977
14.750,0.150962
14.750,0.455693
15.022,0.150962
15.022,0.165648
15.022,0.268449
15.022,0.150962
15.022,0.150962
15.022,0.253763
15.258,0.154634
15.258,0.154634
15.258,0.316178
15.525,0.378592
15.525,0.206034
15.525,0.158305
15.525,0.150962
15.525,0.360235
15.525,0.422650
15.808,0.161977
15.808,0.158305
15.808,0.150962
15.808,0.264777
16.065,0.433664
16.065,0.466707
16.065,0.444679
16.065,0.389607
16.065,0.261106
16.065,0.176663
16.065,0.206034
16.065,0.180334
16.313,0.239077
16.313,0.172991
