elapsed_time_s,pulse_height_V
0.083,0.253763
0.083,0.485065
0.083,0.426321
0.330,0.187677
0.330,0.198691
0.330,1.384570
0.546,0.165648
0.546,0.158305
0.546,0.195020
0.546,0.319849
0.546,0.437336
0.779,0.187677
0.779,0.250092
0.779,0.400621
0.983,0.301492
0.983,0.345549
0.983,0.257435
0.983,0.158305
1.228,0.250092
1.228,0.239077
1.228,0.415307
1.228,0.422650
1.228,0.360235
1.477,0.176663
1.477,0.213377
1.477,0.470379
1.694,0.345549
1.694,0.198691
1.694,0.422650
1.694,0.297821
1.694,0.448350
1.926,0.161977
1.926,0.150962
1.926,0.239077
1.926,0.514436
1.926,0.470379
2.135,0.286806
2.135,0.521779
2.135,0.176663
2.135,0.246420
2.135,0.184006
2.388,0.477722
2.388,0.150962
2.388,0.305163
2.388,0.172991
2.388,0.470379
2.642,0.228063
2.642,0.253763
2.642,0.250092
2.642,0.202363
2.885,0.158305
2.885,0.474050
2.885,0.323521
2.885,0.448350
2.885,0.330864
2.885,0.385935
3.116,0.385935
3.116,0.231734
3.116,0.316178
3.116,0.150962
3.116,0.150962
3.326,0.150962
3.326,0.213377
3.326,0.191348
3.326,0.466707
3.610,0.154634
3.610,0.418978
3.610,0.272120
3.610,0.206034
3.610,0.466707
3.610,0.470379
3.812,0.224392
3.812,0.352892
3.812,0.319849
3.812,0.220720
3.812,0.341878
4.055,0.187677
4.055,0.518108
4.055,0.161977
4.055,0.150962
4.055,0.206034
4.290,0.224392
4.290,0.161977
4.290,0.294149
4.290,0.150962
4.290,0.150962
4.290,0.312506
4.290,0.411636
4.495,0.169320
4.495,0.984382
4.495,0.206034
4.495,0.180334
4.495,0.165648
4.778,0.268449
4.778,0.404293
4.778,0.250092
4.778,0.165648
4.778,0.217049
4.981,0.319849
4.981,0.308835
4.981,0.198691
4.981,0.441007
5.223,0.150962
5.223,0.283135
5.223,0.154634
5.223,0.341878
5.457,0.316178
5.458,0.217049
5.458,0.150962
5.458,0.503422
5.458,0.275792
5.665,0.466707
5.665,0.150962
5.665,0.319849
5.665,0.150962
5.665,0.316178
5.954,0.477722
5.954,0.158305
5.954,0.294149
5.954,0.253763
5.954,0.547479
6.155,0.253763
6.155,0.437336
6.155,0.286806
6.155,0.316178
6.155,0.169320
6.397,0.169320
6.397,0.418978
6.397,0.231734
6.397,0.154634
6.397,0.488736
6.397,0.349221
6.632,0.209706
6.632,0.184006
6.632,0.172991
6.632,0.308835
6.632,0.165648
6.842,0.569508
6.842,0.393278
6.842,0.463036
6.842,0.319849
7.124,0.176663
7.124,0.529122
7.124,0.224392
7.124,0.150962
7.124,0.220720
7.332,0.191348
7.332,0.150962
7.332,0.407964
7.577,0.239077
7.577,0.172991
7.577,0.206034
7.577,0.400621
7.577,0.161977
7.577,0.150962
7.818,0.393278
7.818,0.150962
7.818,0.404293
7.818,0.250092
7.818,0.150962
7.818,0.154634
7.818,0.187677
8.083,0.154634
8.083,0.191348
8.083,0.150962
8.083,0.356564
8.083,0.246420
8.083,0.206034
8.317,0.176663
8.317,0.422650
8.317,0.327192
8.317,0.492407
8.317,0.220720
8.317,0.213377
8.317,0.209706
8.519,0.444679
8.519,0.239077
8.519,0.154634
8.519,0.418978
8.519,0.382264
8.519,0.360235
8.760,0.198691
8.760,0.231734
8.760,0.305163
8.760,0.150962
8.760,0.158305
8.990,0.422650
8.990,0.154634
8.990,0.206034
8.990,0.492407
8.990,0.250092
9.277,0.246420
9.277,0.591537
9.277,0.363907
9.277,0.161977
9.277,0.407964
9.277,0.279463
9.510,0.411636
9.510,0.341878
9.510,0.154634
9.510,0.341878
9.510,0.411636
9.717,0.290478
9.717,0.253763
9.717,0.485065
9.717,0.437336
9.951,0.161977
9.951,0.246420
9.951,0.393278
9.951,0.150962
9.951,0.257435
10.180,0.169320
10.180,0.220720
10.180,0.172991
10.180,0.393278
