elapsed_time_s,pulse_height_V
0.124,0.202363
0.124,0.224392
0.124,0.198691
0.124,0.407964
0.338,0.150962
0.338,0.150962
0.338,0.283135
0.338,0.371250
0.581,0.422650
0.581,0.154634
0.581,0.444679
0.581,0.154634
0.581,0.213377
0.874,0.349221
0.874,0.481393
0.874,0.176663
0.874,0.202363
0.874,0.154634
1.106,0.477722
1.106,0.154634
1.106,0.169320
1.106,0.385935
1.106,0.242749
1.361,0.161977
1.361,0.352892
1.361,0.169320
1.361,0.169320
1.361,0.275792
1.596,0.158305
1.596,0.429993
1.596,0.422650
1.596,0.150962
1.596,0.184006
1.596,0.161977
1.915,0.496079
1.915,0.312506
1.915,0.492407
1.915,0.466707
1.915,0.172991
1.915,0.231734
2.162,0.334535
2.162,0.433664
2.162,0.154634
2.162,0.279463
2.162,0.154634
2.162,0.639266
2.429,0.378592
2.429,0.150962
2.429,0.268449
2.429,0.400621
2.429,0.481393
2.673,0.213377
2.673,0.275792
2.673,0.338207
2.673,0.195020
2.673,0.235406
2.673,0.283135
2.943,0.455693
2.943,0.301492
2.943,0.319849
2.943,0.217049
2.943,0.914624
3.233,0.470379
3.233,0.253763
3.233,0.176663
3.233,0.150962
3.233,0.150962
3.233,0.624580
3.501,0.206034
3.501,0.407964
3.501,0.228063
3.501,0.176663
3.501,0.198691
3.750,0.161977
3.750,0.341878
3.750,0.485065
3.750,0.477722
3.750,0.198691
3.750,0.191348
4.019,0.356564
4.019,0.275792
4.019,0.180334
4.019,1.248726
4.019,0.161977
4.019,0.338207
4.310,0.228063
4.310,0.426321
4.310,0.169320
4.310,0.176663
4.310,0.301492
4.582,0.242749
4.582,0.213377
4.582,0.202363
4.582,0.437336
4.582,0.154634
4.828,0.195020
4.828,0.165648
4.828,0.455693
4.828,0.330864
4.828,0.169320
5.100,0.172991
5.100,0.308835
5.100,0.418978
5.100,0.341878
5.100,0.591537
5.100,0.209706
5.347,0.327192
5.347,0.150962
5.347,0.441007
5.347,0.198691
5.347,0.180334
5.666,0.202363
5.666,0.393278
5.666,0.217049
5.666,0.184006
5.666,0.422650
5.666,0.360235
5.666,0.154634
5.913,0.150962
5.913,0.316178
5.913,0.466707
5.913,0.172991
6.185,0.352892
6.185,0.180334
6.185,0.206034
6.185,0.198691
6.186,0.195020
6.186,0.150962
6.436,0.341878
6.436,0.261106
6.436,0.463036
6.436,0.150962
6.436,0.474050
6.436,0.169320
6.768,0.224392
6.768,0.360235
6.768,0.150962
6.768,0.202363
6.768,0.154634
6.768,0.224392
7.026,0.231734
7.026,0.272120
7.026,0.341878
7.026,0.150962
7.026,0.272120
7.303,0.172991
7.303,0.161977
7.303,0.294149
7.303,0.228063
7.303,0.150962
7.303,0.378592
7.303,0.220720
7.550,0.198691
7.550,0.312506
7.550,0.158305
7.550,0.463036
7.551,0.209706
7.551,0.161977
7.822,0.264777
7.822,0.481393
7.822,0.161977
7.822,0.429993
7.822,0.213377
8.112,1.252398
8.112,0.532793
8.112,0.415307
8.112,0.466707
8.112,0.165648
8.378,0.429993
8.378,0.158305
8.378,0.161977
8.378,0.422650
8.378,0.191348
8.378,0.217049
8.624,0.161977
8.624,0.587865
8.624,0.378592
8.624,0.569508
8.624,0.158305
8.893,0.411636
8.893,0.415307
8.893,0.228063
8.893,0.150962
8.893,0.154634
9.181,0.316178
9.181,0.253763
9.181,0.150962
9.181,0.172991
9.181,0.327192
9.451,0.448350
9.451,0.158305
9.451,0.261106
9.703,0.407964
9.703,0.250092
9.703,0.312506
9.703,0.466707
9.703,0.470379
9.703,0.228063
9.976,0.382264
9.976,0.154634
9.976,0.242749
9.976,0.158305
10.269,0.187677
10.269,0.452021
10.269,0.158305
10.269,0.338207
10.269,0.150962
10.269,0.150962
10.536,0.158305
10.536,0.404293
10.536,0.503422
10.536,0.290478
10.536,0.195020
10.536,0.202363
10.783,0.525451
10.783,0.510765
10.783,0.514436
10.783,1.311141
10.783,0.158305
10.783,0.150962
