elapsed_time_s,pulse_height_V
0.157,0.279463
0.157,0.286806
0.391,0.275792
0.391,0.184006
0.391,0.150962
0.391,0.202363
0.391,0.272120
0.688,0.235406
0.688,0.378592
0.953,0.510765
0.953,0.158305
0.953,0.158305
0.953,0.290478
0.953,0.422650
0.953,0.198691
0.953,0.150962
0.953,0.371250
1.175,0.169320
1.471,0.411636
1.471,0.150962
1.471,0.242749
1.471,0.411636
1.739,0.172991
1.739,0.150962
2.036,0.400621
2.036,0.452021
2.036,0.231734
2.036,0.466707
2.036,0.352892
2.036,0.253763
2.259,0.150962
2.557,0.150962
2.557,0.198691
2.557,0.246420
2.557,0.150962
2.557,0.980710
2.557,0.150962
2.557,0.565836
2.557,0.150962
2.832,0.150962
2.832,0.257435
3.121,0.150962
3.121,0.448350
3.121,0.290478
3.121,0.184006
3.121,0.474050
3.338,0.224392
3.338,0.481393
3.637,0.290478
3.637,0.488736
3.637,0.580522
3.637,0.382264
3.637,0.330864
3.894,0.393278
3.894,0.150962
4.191,0.150962
4.191,0.150962
4.191,0.279463
4.191,0.334535
4.191,0.510765
4.191,0.532793
4.408,0.231734
4.714,0.150962
4.714,0.184006
4.714,0.433664
4.714,0.404293
4.714,0.338207
4.714,0.323521
4.714,0.228063
4.973,0.198691
4.973,0.507093
5.276,0.415307
5.276,0.452021
5.276,0.404293
5.276,0.459364
5.276,0.195020
5.276,0.393278
5.276,0.305163
5.491,0.154634
5.491,0.272120
5.790,0.286806
5.790,0.521779
5.790,0.437336
5.790,0.165648
5.790,0.154634
5.790,0.150962
6.049,0.158305
6.049,0.150962
6.347,0.154634
6.347,0.191348
6.347,0.488736
6.347,0.587865
6.347,0.466707
6.563,0.481393
6.866,0.220720
6.866,0.169320
6.866,0.352892
6.866,0.609894
6.866,0.246420
6.866,0.448350
6.866,0.150962
6.866,0.209706
7.086,0.448350
7.086,0.492407
7.428,1.336841
7.428,0.374921
7.428,0.400621
7.428,0.264777
7.428,0.169320
7.428,0.389607
7.428,0.598880
7.643,0.429993
7.955,0.294149
7.955,0.158305
7.955,0.158305
7.955,0.150962
7.955,0.154634
7.955,0.176663
7.955,0.239077
8.174,0.272120
8.174,0.213377
8.509,0.466707
8.509,0.488736
8.509,0.268449
8.509,0.470379
8.723,0.455693
8.723,0.404293
9.010,0.150962
9.010,0.198691
9.010,0.330864
9.316,0.466707
9.316,0.187677
9.316,0.294149
9.316,0.176663
9.316,0.150962
9.316,0.198691
9.316,0.154634
9.659,0.161977
9.659,0.305163
9.659,0.220720
9.659,0.217049
9.659,0.224392
9.659,0.209706
9.960,0.172991
9.960,0.470379
9.960,0.154634
9.960,0.261106
9.960,0.220720
10.265,0.338207
10.265,0.400621
10.265,0.275792
10.265,0.305163
10.265,0.404293
10.265,0.198691
10.265,0.184006
10.616,0.385935
10.616,0.246420
10.616,0.154634
10.616,0.371250
10.923,0.396950
10.923,1.230369
10.923,0.150962
10.923,0.352892
10.923,0.396950
11.230,0.459364
11.230,0.176663
11.230,0.327192
11.230,0.283135
11.230,0.180334
11.230,0.301492
11.540,0.330864
11.540,0.433664
11.540,0.158305
11.540,0.411636
11.540,0.444679
11.540,0.499750
11.540,0.319849
11.781,0.158305
11.781,0.228063
12.093,0.150962
12.093,0.161977
12.093,0.184006
12.093,0.161977
12.093,0.312506
12.402,0.459364
12.402,0.459364
12.402,0.466707
12.402,0.180334
12.402,0.301492
12.402,0.154634
12.713,0.165648
12.713,0.404293
12.713,0.246420
12.713,0.268449
12.713,0.202363
12.713,0.150962
12.951,0.161977
13.271,0.206034
13.271,0.411636
13.271,0.202363
13.271,0.400621
13.271,0.202363
13.271,0.191348
13.271,0.195020
13.271,0.613565
13.588,0.150962
13.588,0.253763
13.588,0.352892
13.588,0.558494
13.588,0.466707
13.895,0.235406
13.895,0.150962
13.895,0.404293
13.895,0.206034
13.895,0.158305
14.135,0.176663
14.448,0.213377
14.448,0.154634
14.448,0.466707
14.448,0.184006
14.448,0.195020
14.448,0.418978
14.761,0.297821
14.761,0.268449
14.761,0.161977
14.761,0.396950
14.761,0.213377
14.761,0.253763
15.071,0.374921
15.071,0.609894
15.071,0.165648
15.071,0.345549
15.071,0.169320
15.071,0.316178
15.422,0.286806
15.422,0.176663
15.422,0.286806
15.422,0.161977
15.422,0.150962
15.727,0.459364
15.727,0.554822
15.727,0.180334
15.727,0.224392
16.038,0.169320
16.038,0.404293
16.038,0.253763
16.038,0.195020
16.038,0.466707
16.347,0.463036
16.347,0.349221
16.347,0.477722
16.347,1.285441
16.347,0.239077
16.696,0.198691
16.696,0.150962
16.696,0.150962
16.696,0.180334
16.696,0.187677
16.696,0.499750
17.009,0.378592
17.009,0.224392
17.009,0.283135
17.009,0.283135
17.009,0.264777
17.009,0.150962
17.009,0.217049
17.320,0.466707
17.320,0.466707
17.320,0.235406
17.320,0.393278
17.320,0.150962
17.320,0.150962
17.631,0.584194
17.631,0.154634
17.631,0.150962
17.631,0.404293
17.631,0.158305
17.978,0.154634
17.978,0.477722
17.978,0.150962
17.978,0.231734
18.287,0.507093
18.287,0.206034
18.287,0.150962
18.287,0.195020
18.287,0.341878
18.287,0.441007
18.596,1.274427
18.596,0.429993
18.596,0.448350
18.596,0.441007
18.596,0.172991
18.596,0.470379
18.596,0.503422
18.908,0.239077
18.908,0.609894
18.908,0.349221
18.908,0.235406
18.908,0.198691
19.256,0.367578
19.256,0.154634
19.256,0.158305
19.256,0.437336
19.256,0.411636
19.256,0.154634
19.256,0.349221
19.256,0.367578
19.561,0.407964
19.561,0.345549
19.561,0.217049
19.561,0.209706
19.561,0.433664
19.867,0.154634
19.867,0.279463
19.867,0.411636
19.867,0.360235
19.867,0.452021
19.867,0.444679
20.179,0.371250
20.179,0.488736
20.179,0.371250
20.179,0.228063
20.179,0.279463
20.179,0.411636
20.179,0.154634
20.527,0.349221
20.527,0.187677
20.527,0.411636
20.527,0.602551
20.527,0.452021
20.527,0.158305
20.527,0.224392
20.527,0.209706
20.837,0.217049
20.837,0.294149
20.837,0.202363
20.838,0.459364
20.838,0.360235
20.838,0.422650
21.142,0.165648
21.142,0.253763
21.142,0.176663
21.142,0.187677
21.142,0.290478
21.142,0.363907
21.488,0.224392
21.488,0.279463
21.488,0.272120
21.488,0.573179
21.488,0.246420
21.488,0.198691
21.488,0.161977
21.791,0.576851
21.791,0.316178
21.791,0.220720
21.791,0.330864
21.791,0.187677
22.100,0.323521
22.100,0.554822
22.100,0.198691
22.100,0.150962
22.100,0.418978
22.410,0.503422
22.410,0.158305
22.410,0.150962
22.410,0.180334
22.410,0.290478
22.410,0.411636
22.655,0.510765
22.971,0.198691
22.971,0.518108
22.971,0.158305
22.971,0.444679
22.971,0.257435
22.971,0.345549
22.971,0.385935
22.971,0.161977
23.283,0.246420
23.283,0.176663
23.283,0.195020
23.283,0.191348
23.283,0.165648
23.283,0.154634
23.593,0.187677
23.593,0.191348
23.593,0.305163
23.593,0.374921
23.593,0.161977
