elapsed_time_s,pulse_height_V
0.097,0.756752
0.097,0.488736
0.350,0.198691
0.350,0.363907
0.350,0.239077
0.350,0.290478
0.350,0.206034
0.350,0.341878
0.559,0.418978
0.559,0.246420
0.559,0.334535
0.559,0.220720
0.559,0.437336
0.559,1.740701
0.821,0.940325
0.821,0.316178
0.821,2.262047
0.821,0.264777
0.821,0.301492
1.114,0.176663
1.114,0.206034
1.114,0.477722
1.114,0.184006
1.114,0.389607
1.114,1.223026
1.114,1.241384
1.375,0.301492
1.375,0.154634
1.375,0.150962
1.375,0.334535
1.375,0.224392
1.375,0.694337
1.613,0.239077
1.613,1.751715
1.613,0.253763
1.613,0.195020
1.613,0.385935
1.613,0.257435
1.877,0.206034
1.877,2.041760
1.877,0.228063
1.877,0.198691
1.877,1.579157
1.877,0.459364
1.877,0.217049
2.132,0.349221
2.132,0.198691
2.132,0.525451
2.132,0.731052
2.132,0.727380
2.132,0.389607
2.132,0.195020
2.439,0.352892
2.439,0.246420
2.439,0.301492
2.439,0.874238
2.439,0.349221
2.439,0.778781
2.688,0.694337
2.688,0.206034
2.688,1.902245
2.688,0.150962
2.688,0.191348
2.945,0.558494
2.945,0.272120
2.945,1.428628
3.199,0.356564
3.199,0.448350
3.199,0.253763
3.488,0.268449
3.488,0.242749
3.488,0.518108
3.488,0.195020
3.488,0.224392
3.488,1.395584
3.488,0.154634
3.488,0.382264
3.755,0.176663
3.755,1.740701
3.755,0.286806
3.755,0.154634
3.755,0.598880
3.755,0.268449
3.978,0.187677
3.978,0.297821
3.978,0.540136
3.978,0.161977
4.256,0.345549
4.256,0.206034
4.256,0.422650
4.256,0.169320
4.256,0.261106
4.497,1.138583
4.497,0.499750
4.497,0.360235
4.497,0.294149
4.774,0.308835
4.774,0.272120
4.774,0.272120
4.774,0.429993
4.774,0.198691
4.774,0.661294
4.774,0.213377
4.976,0.573179
4.976,0.360235
4.976,0.286806
4.976,0.613565
4.976,0.609894
5.249,0.161977
5.249,1.454328
5.249,0.257435
5.249,0.367578
5.249,1.623214
5.249,1.524085
5.481,0.404293
5.481,0.418978
5.481,0.158305
5.481,0.664966
5.481,0.396950
5.771,0.514436
5.771,0.202363
5.771,0.272120
5.771,0.172991
5.771,0.202363
5.771,0.202363
5.771,0.305163
5.771,0.389607
6.032,0.778781
6.032,0.492407
6.032,0.565836
6.032,0.371250
6.032,2.162918
6.260,0.356564
6.260,0.213377
6.260,0.459364
6.260,0.228063
6.543,0.213377
6.543,0.161977
6.543,0.422650
6.543,0.558494
6.543,0.709023
6.543,0.474050
6.543,0.191348
6.821,1.380899
6.821,0.584194
6.821,0.220720
7.096,0.698009
7.096,0.213377
7.096,0.275792
7.096,0.330864
7.096,0.492407
7.096,0.371250
7.096,0.352892
7.332,0.290478
7.332,0.209706
7.332,0.334535
7.332,0.272120
7.332,0.385935
7.608,0.962353
7.608,0.242749
7.608,0.330864
7.608,1.472685
7.608,1.597514
7.609,0.863224
7.609,0.231734
7.842,0.349221
7.842,2.104175
7.842,0.272120
7.842,0.206034
7.842,0.202363
7.842,0.169320
8.152,0.657623
8.152,0.349221
8.152,0.264777
8.152,0.393278
8.152,0.261106
8.152,0.470379
8.152,0.885253
8.391,0.591537
8.391,0.415307
8.391,0.323521
8.391,0.198691
8.391,0.562165
8.631,0.224392
8.631,0.308835
8.631,1.123897
8.631,0.180334
8.631,0.507093
8.631,0.393278
8.861,0.360235
8.861,0.272120
8.861,0.268449
8.861,0.334535
8.861,0.389607
9.155,0.220720
9.155,0.690666
9.155,0.286806
9.155,1.520414
9.155,0.165648
9.411,0.558494
9.411,1.887559
9.411,0.220720
9.411,0.154634
9.411,1.505728
9.644,0.437336
9.644,0.452021
9.644,1.670943
9.644,0.470379
9.918,0.297821
9.918,0.195020
9.918,2.118860
9.918,0.220720
9.918,0.235406
9.918,0.202363
10.155,0.749409
10.155,0.224392
10.155,1.894902
10.155,0.206034
10.155,0.202363
10.155,0.294149
10.155,0.341878
10.454,0.264777
10.454,0.172991
10.454,0.246420
10.454,0.334535
10.454,1.175297
10.454,0.433664
10.454,0.202363
10.708,0.463036
10.708,0.775109
10.708,0.261106
10.708,1.916931
10.708,0.371250
10.956,0.228063
10.956,0.441007
10.956,0.154634
10.956,0.407964
10.956,0.407964
10.956,0.653951
10.956,1.083511
11.218,1.634229
11.218,0.279463
11.218,0.294149
11.218,0.301492
11.218,0.305163
11.218,0.301492
11.506,0.532793
11.506,0.363907
11.506,0.198691
11.506,0.228063
11.506,0.349221
11.506,0.268449
11.770,0.308835
11.770,0.903610
11.770,0.554822
11.770,0.778781
11.770,0.165648
11.770,0.305163
11.770,0.220720
11.770,0.261106
12.005,0.455693
12.005,0.176663
12.005,0.378592
12.005,0.323521
12.005,0.169320
