elapsed_time_s,pulse_height_V
0.116,0.290478
0.116,0.441007
0.396,0.764095
0.396,0.261106
0.396,0.698009
0.396,0.184006
0.396,0.393278
0.396,0.374921
0.396,0.198691
0.396,0.334535
0.632,0.404293
0.632,0.250092
0.862,0.338207
0.862,0.488736
0.862,0.338207
0.862,0.224392
0.862,0.209706
0.862,0.793466
1.097,0.290478
1.097,0.228063
1.097,0.224392
1.097,0.191348
1.097,0.598880
1.097,0.290478
1.368,0.158305
1.368,0.191348
1.368,0.239077
1.368,0.371250
1.368,0.613565
1.368,0.264777
1.651,0.554822
1.651,0.250092
1.651,0.635594
1.651,1.905916
1.651,1.311141
1.651,0.220720
1.651,0.418978
1.918,0.518108
1.918,0.239077
1.918,0.290478
1.918,0.158305
1.918,0.176663
1.918,0.352892
1.918,0.235406
1.918,0.195020
2.123,0.202363
2.123,0.360235
2.123,0.283135
2.123,0.217049
2.123,0.242749
2.398,0.393278
2.398,1.781087
2.398,0.187677
2.398,0.382264
2.398,0.290478
2.398,1.021096
2.398,0.675980
2.398,0.617237
2.672,0.213377
2.672,0.217049
2.672,0.242749
2.672,0.242749
2.672,0.650280
2.672,0.172991
2.672,0.242749
2.672,0.367578
2.918,0.297821
2.918,0.297821
2.918,0.316178
2.918,0.246420
2.918,0.206034
2.918,1.017425
2.918,0.363907
3.176,0.389607
3.176,0.573179
3.176,0.804481
3.176,0.363907
3.176,0.492407
3.411,0.165648
3.411,1.406599
3.411,2.240018
3.411,1.828816
3.411,0.470379
3.730,0.330864
3.730,0.407964
3.730,0.947667
3.730,0.418978
3.730,0.459364
3.730,0.466707
3.730,0.738395
3.981,0.536465
3.981,0.253763
3.981,0.224392
3.981,0.224392
3.981,0.407964
3.981,0.220720
3.981,0.613565
3.981,0.404293
3.981,0.224392
4.222,0.551151
4.222,1.123897
4.222,1.241384
4.222,0.595208
4.222,0.169320
4.222,0.191348
4.474,0.198691
4.474,1.281769
4.474,2.016060
4.474,0.297821
4.474,0.808152
4.474,0.316178
4.717,0.297821
4.717,0.312506
4.717,0.220720
4.717,0.191348
4.717,0.356564
