elapsed_time_s,pulse_height_V
0.144,0.195020
0.387,0.400621
0.387,0.283135
0.387,0.187677
0.387,0.150962
0.690,0.242749
0.690,0.150962
0.944,0.154634
0.944,0.169320
0.944,0.470379
0.944,0.257435
0.944,0.191348
0.944,0.407964
0.944,0.334535
1.156,0.150962
1.156,0.161977
1.456,0.154634
1.456,0.415307
1.456,0.624580
1.456,0.565836
1.456,0.297821
1.456,0.176663
1.713,0.158305
2.001,0.150962
2.001,0.565836
2.001,0.154634
2.001,0.404293
2.001,0.452021
2.284,0.327192
2.284,0.352892
2.284,0.198691
2.583,0.316178
2.583,0.150962
2.583,0.290478
2.583,0.195020
2.583,0.220720
2.583,0.474050
2.913,0.158305
2.913,0.459364
2.913,0.466707
2.913,0.154634
2.913,0.290478
2.913,0.235406
2.913,0.195020
2.913,0.305163
3.208,0.195020
3.208,0.220720
3.208,0.224392
3.208,0.161977
3.208,0.268449
3.208,0.158305
3.208,0.551151
3.481,0.250092
3.481,0.198691
3.481,0.587865
3.481,0.217049
3.481,0.411636
3.481,0.330864
3.785,0.154634
3.785,0.433664
3.785,0.455693
3.785,0.264777
3.785,0.411636
4.104,0.540136
4.104,0.290478
4.104,0.352892
4.104,0.393278
4.104,0.209706
4.104,0.158305
4.104,0.161977
4.403,0.158305
4.403,0.433664
4.403,0.176663
4.403,0.150962
4.676,0.176663
4.676,0.176663
4.676,0.176663
4.676,0.150962
4.676,0.191348
4.676,0.272120
4.980,0.150962
4.980,0.411636
4.980,0.180334
4.980,0.217049
4.980,0.393278
4.980,0.330864
5.297,0.261106
5.297,0.253763
5.297,0.161977
5.297,0.150962
5.297,0.466707
5.297,0.334535
5.297,0.220720
5.609,0.150962
5.609,0.426321
5.609,0.653951
5.609,0.150962
5.609,0.165648
5.891,0.209706
5.891,0.631923
5.891,0.154634
5.891,0.283135
5.891,0.202363
5.891,0.172991
6.204,0.246420
6.204,0.209706
6.204,0.378592
6.204,0.169320
6.204,0.411636
6.204,0.165648
6.204,0.161977
6.204,0.264777
6.204,0.161977
6.558,0.150962
6.558,0.371250
6.558,0.154634
6.558,0.242749
6.558,0.617237
6.558,0.283135
6.558,0.305163
6.558,0.154634
6.558,0.187677
6.866,0.323521
6.866,0.150962
6.866,0.286806
6.866,0.165648
6.866,0.418978
7.169,0.264777
7.169,0.191348
7.169,0.308835
7.169,0.297821
7.169,0.294149
7.169,0.477722
7.169,0.341878
7.480,0.345549
7.480,0.338207
7.480,0.150962
7.480,0.279463
7.480,0.184006
7.481,0.191348
7.828,0.172991
7.828,0.418978
7.828,0.202363
7.828,0.209706
7.828,0.242749
7.828,0.220720
7.828,0.224392
8.126,0.411636
8.126,0.272120
8.126,0.635594
8.126,0.161977
8.126,0.525451
8.431,0.161977
