elapsed_time_s,pulse_height_V
0.091,0.158305
0.091,0.345549
0.091,0.301492
0.299,0.323521
0.299,0.393278
0.299,0.290478
0.299,0.459364
0.299,0.217049
0.299,0.448350
0.552,0.429993
0.552,0.224392
0.552,0.404293
0.793,0.613565
0.793,0.217049
0.793,0.150962
0.793,0.466707
0.793,0.150962
0.793,0.180334
0.996,0.396950
0.996,0.444679
0.996,0.261106
0.996,0.150962
1.231,0.228063
1.231,0.169320
1.231,0.253763
1.231,0.316178
1.231,0.202363
1.231,0.407964
1.231,0.543808
1.479,0.374921
1.480,0.161977
1.480,0.341878
1.480,0.272120
1.688,0.150962
1.688,0.209706
1.924,0.154634
1.924,0.239077
1.924,0.184006
1.924,0.349221
1.924,0.507093
2.138,0.209706
2.138,0.422650
2.138,0.327192
2.138,0.202363
2.138,0.161977
2.138,0.286806
2.371,0.459364
2.371,0.404293
2.371,0.268449
2.371,1.296455
2.631,0.154634
2.631,0.481393
2.631,0.195020
2.631,0.158305
2.835,0.407964
2.835,0.150962
2.835,0.297821
3.066,0.407964
3.066,0.150962
3.066,0.180334
3.066,0.518108
3.066,0.154634
3.282,0.316178
3.282,0.158305
3.282,0.228063
3.282,0.510765
3.282,0.220720
3.282,0.220720
3.282,0.418978
3.512,0.595208
3.512,0.305163
3.512,0.360235
3.512,0.466707
3.512,0.158305
3.769,0.165648
3.769,0.154634
3.769,0.154634
3.976,0.150962
3.976,0.246420
3.976,0.382264
3.976,0.213377
4.209,0.580522
4.209,0.150962
4.210,0.415307
4.210,0.382264
4.210,0.224392
4.210,0.187677
4.413,0.235406
4.413,0.213377
4.413,0.220720
4.413,0.165648
4.648,0.334535
4.648,0.150962
4.648,0.195020
4.648,0.176663
4.900,0.415307
4.900,0.356564
4.900,0.184006
4.900,0.150962
4.900,0.411636
5.108,0.187677
5.108,0.385935
5.108,0.191348
5.108,0.466707
5.341,0.319849
5.341,0.224392
5.341,0.150962
5.341,0.231734
5.547,0.294149
5.547,0.150962
5.547,0.250092
5.547,0.172991
5.547,0.411636
5.789,0.290478
5.789,0.158305
5.789,0.499750
5.789,0.613565
5.789,0.518108
6.041,0.235406
6.041,0.184006
6.041,0.316178
6.249,0.507093
6.249,0.250092
6.249,0.305163
6.485,0.488736
6.485,0.165648
6.485,0.235406
6.485,0.150962
6.688,0.455693
6.688,0.154634
6.688,0.426321
6.688,0.217049
6.924,0.195020
6.924,0.275792
6.924,0.330864
6.924,0.294149
6.924,0.257435
6.924,0.154634
7.173,0.209706
7.173,0.176663
7.173,0.316178
7.382,0.396950
7.382,0.161977
7.382,0.418978
7.382,0.217049
7.382,0.418978
7.616,0.191348
7.616,0.202363
7.616,0.411636
7.616,0.253763
7.616,0.158305
7.821,0.220720
7.821,0.400621
7.821,0.176663
7.821,1.120226
8.106,0.463036
8.106,0.396950
8.106,0.407964
8.106,0.154634
8.106,0.202363
8.106,0.389607
8.310,0.158305
8.310,0.334535
8.310,0.598880
8.310,0.158305
8.518,0.378592
8.518,0.154634
8.518,0.158305
8.518,0.150962
8.518,1.344184
8.518,0.165648
8.742,0.154634
8.742,0.172991
8.742,0.323521
8.943,0.587865
8.943,0.385935
8.943,0.275792
8.943,0.184006
8.943,0.396950
8.943,0.338207
9.228,0.283135
9.228,0.418978
9.228,0.441007
9.228,0.257435
9.228,0.161977
9.228,0.169320
9.228,0.150962
9.434,0.154634
9.434,0.150962
9.434,0.150962
9.643,0.308835
9.643,0.261106
9.643,0.202363
9.870,0.426321
9.870,0.275792
9.870,0.220720
9.870,0.261106
9.870,0.150962
9.870,0.154634
10.072,0.507093
10.072,0.275792
10.072,0.150962
10.353,0.154634
10.353,0.150962
10.353,0.172991
10.353,0.327192
10.353,0.154634
10.554,0.301492
10.554,0.169320
10.554,0.628251
10.554,0.327192
10.761,0.158305
10.761,0.400621
10.761,0.242749
10.761,0.195020
10.991,0.587865
10.991,0.158305
10.991,0.418978
10.991,0.176663
10.991,0.338207
10.991,0.150962
11.196,0.283135
11.196,0.220720
11.196,0.272120
11.196,0.341878
11.196,0.150962
11.196,0.154634
11.196,0.466707
11.480,0.257435
11.480,0.150962
11.480,0.169320
11.480,0.360235
11.480,0.220720
11.684,0.154634
11.684,0.150962
11.684,0.297821
11.892,0.150962
11.892,0.220720
11.892,0.268449
11.892,0.224392
11.892,0.176663
12.126,0.496079
12.126,0.345549
12.126,0.176663
12.126,0.158305
12.332,0.165648
12.332,0.319849
12.332,0.195020
12.332,0.411636
12.613,0.407964
12.613,0.161977
12.613,0.400621
12.613,0.411636
12.820,0.257435
12.820,0.158305
12.820,0.246420
12.820,0.198691
12.820,0.169320
13.029,0.150962
13.029,0.305163
13.029,0.272120
13.029,0.158305
13.029,0.279463
13.029,0.242749
13.262,0.202363
13.262,0.374921
13.262,0.150962
13.262,0.400621
13.262,0.411636
13.262,0.396950
13.471,0.154634
13.471,0.165648
13.471,0.150962
13.471,0.217049
13.471,0.176663
13.471,0.150962
13.747,0.279463
13.747,0.224392
13.747,0.209706
13.747,0.275792
13.747,0.448350
13.949,0.463036
13.949,0.176663
13.949,0.418978
13.949,0.206034
14.152,0.176663
14.152,0.455693
14.152,0.158305
14.386,0.297821
14.386,0.279463
14.386,0.272120
14.386,0.349221
14.386,0.319849
14.386,0.378592
14.638,0.429993
14.638,0.474050
14.638,0.297821
14.638,0.470379
14.638,0.217049
14.638,0.459364
14.872,0.195020
14.872,0.429993
14.872,0.587865
14.872,0.154634
14.872,0.169320
15.089,0.235406
15.089,0.158305
15.089,0.250092
15.089,0.341878
15.089,0.286806
15.323,0.198691
15.323,0.154634
15.323,0.198691
15.323,0.418978
15.323,0.202363
15.533,0.268449
15.533,0.206034
15.533,0.294149
15.533,0.195020
15.787,0.158305
15.787,0.448350
15.787,0.459364
15.787,0.316178
15.787,0.441007
16.018,0.382264
16.018,0.253763
16.018,0.301492
16.018,0.385935
16.018,0.198691
16.018,0.598880
16.018,0.150962
16.222,0.360235
16.222,0.463036
16.222,0.198691
16.222,0.198691
16.426,0.150962
16.426,0.349221
16.426,0.154634
16.426,0.161977
16.655,0.463036
16.655,0.308835
16.655,0.466707
16.655,0.195020
16.655,0.606222
16.906,0.521779
16.906,0.422650
16.906,0.319849
16.906,0.150962
17.139,0.407964
17.139,0.378592
17.139,0.161977
17.139,0.396950
17.139,0.187677
17.139,0.206034
17.342,0.407964
17.342,0.301492
17.342,0.286806
17.342,0.363907
17.342,0.363907
17.546,0.228063
17.546,0.411636
17.546,0.176663
17.546,0.253763
17.779,0.297821
17.779,0.150962
17.779,0.154634
17.779,0.407964
17.779,0.213377
18.042,0.279463
18.042,0.334535
18.042,0.191348
18.042,0.283135
18.042,0.231734
18.276,0.161977
18.276,0.220720
18.276,0.202363
18.276,0.150962
18.276,0.150962
18.485,0.426321
18.485,0.352892
18.485,0.459364
18.485,0.418978
18.689,0.165648
18.689,0.411636
18.919,0.242749
18.919,0.161977
18.919,0.448350
18.919,0.184006
18.919,1.054140
18.919,0.158305
18.919,0.396950
18.919,0.378592
19.181,0.518108
19.181,0.422650
19.181,0.158305
19.181,0.191348
19.181,0.393278
19.181,0.195020
19.414,0.242749
19.414,0.481393
19.414,0.154634
19.414,0.268449
19.414,1.410270
19.621,0.154634
19.621,0.584194
19.621,0.220720
19.621,0.316178
19.830,0.257435
19.830,0.323521
19.830,0.169320
19.830,0.441007
19.830,0.389607
20.068,0.385935
20.068,0.415307
20.068,0.209706
20.068,0.150962
20.068,0.345549
20.323,0.154634
20.323,0.268449
20.323,0.485065
20.323,0.334535
20.323,0.429993
20.323,0.609894
20.560,0.228063
20.560,0.463036
20.560,0.400621
20.560,0.158305
20.560,0.176663
20.560,0.338207
20.763,0.286806
20.763,0.352892
20.763,0.150962
20.763,0.172991
20.763,0.158305
20.763,0.558494
20.970,0.180334
20.970,0.338207
20.970,0.308835
20.970,0.404293
20.970,0.404293
21.203,0.150962
21.203,0.463036
21.203,0.198691
21.203,0.176663
21.203,0.184006
21.203,0.220720
21.203,0.261106
21.453,0.286806
21.453,0.158305
21.453,0.521779
21.453,0.180334
21.692,0.474050
21.692,0.191348
21.692,0.275792
21.692,0.158305
21.692,0.150962
21.692,0.404293
21.896,0.206034
21.896,0.404293
21.896,0.150962
21.896,0.172991
21.896,0.352892
21.896,0.323521
22.104,0.264777
22.104,0.474050
22.104,0.246420
22.381,0.228063
22.381,0.224392
22.381,0.275792
22.381,0.209706
22.381,0.228063
22.585,0.198691
22.585,0.195020
22.585,0.161977
22.585,0.242749
22.819,0.150962
22.819,0.422650
22.819,0.415307
22.819,0.206034
22.819,0.286806
23.024,0.286806
23.024,0.187677
23.024,0.195020
23.024,0.345549
23.024,0.187677
23.024,1.105540
23.233,0.459364
23.233,0.407964
23.233,0.415307
23.233,0.150962
23.233,0.264777
23.517,0.169320
23.517,0.187677
23.517,0.441007
23.518,0.154634
23.518,0.382264
23.729,0.426321
23.729,0.169320
23.729,0.264777
23.729,0.176663
23.729,0.253763
23.729,0.407964
23.969,0.327192
23.969,0.305163
